Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Algeria,-0.23386408291924027,-0.2386734069164825,0.07815096495222891,-0.12266202317965061,-1.2452050667943022,-0.7024823885361898,-0.15994348676735617,0.0865167509053157,-0.9089136453368288,-0.5056768658107705,-1.2509085873263124,0.0024501019814643405,-0.44287357554286705,-0.016834493326043067,-0.3422053283874574,-0.2537295640461294
Angola,2.4693354620235883,-0.2386734069164825,-0.5881064202984637,-0.6008156671312399,-1.289314303839548,-0.7735360945019716,-0.15994348676735617,3.062423669204892,-0.9089136453368288,3.023686855627748,-1.2509085873263124,-2.409000512696965,-0.4573299199412177,2.1044641785138034,-0.34135791510615526,-0.300631053967163
Benin,1.8385889015369279,-0.2386734069164825,-0.7765815081000341,-0.6717156495540048,-0.8923311704323361,-0.7866249350746155,-0.15994348676735617,2.0471142500203303,-0.9089136453368288,-0.17350145673420425,-1.2509085873263124,-1.4341587748482383,-0.3616426879711825,1.7234920669464349,-0.33520134487617037,-0.31080204721330656
Botswana,0.3968824775674197,-0.2386734069164825,-0.7816043213536292,-0.63580538428115,-0.7158942222513527,-0.5304576267242973,-0.15994348676735617,0.7867301434463924,-0.9089136453368288,0.4078055091497871,-1.0325023872791534,-1.8959259138292142,-0.3678382641419042,0.4547394467205517,-0.2872646373377954,-0.26128541957937274
Burkina Faso,2.1089088560312113,-0.2386734069164825,-0.35442601321453704,-0.6690784293003801,-0.5394572740703697,-0.7922344381771772,-0.15994348676735617,2.2571782677826535,-0.9089136453368288,-0.17350145673420425,-1.2509085873263124,-1.8959259138292142,-0.3850481979494645,1.98526823111848,-0.34289163778842024,-0.31401593080939827
Burundi,1.7484822500388342,-0.2386734069164825,-0.35442601321453704,-0.6873045590116191,-0.010146429527419808,-0.8015836100147801,-0.15994348676735617,2.1171355892744383,-0.9089136453368288,0.45763182051127205,-1.2509085873263124,-2.1524632132630894,-0.388903223122358,2.513949795312826,-0.34348097056355903,-0.3150178653233169
Cameroon,1.6583755985407398,-0.2386734069164825,-0.6287331206965905,-0.5991634803488024,-0.8482219333870903,-0.7660567570318892,-0.15994348676735617,2.152146258901492,-0.9089136453368288,1.487375588648628,-1.2509085873263124,-1.7420035341688889,-0.45526472788431044,1.8058421140212089,-0.34033348515909934,-0.3111888195351795
Central African Republic,1.4781622955445513,-0.2386734069164825,-0.35442601321453704,-0.6868436442559095,-0.8923311704323361,-0.7941042725446978,-0.15994348676735617,2.852359651442569,-0.9089136453368288,1.487375588648628,-1.2509085873263124,-2.582163189814831,-0.39950454234781513,1.3301440767289352,-0.32587686426021895,-0.31437595682320296
Chad,2.5594421135216825,-0.2386734069164825,-0.35442601321453704,-0.6819159903378039,-0.010146429527419808,-0.7959741069122184,-0.15994348676735617,2.607284964053192,-0.9089136453368288,1.487375588648628,-1.2509085873263124,-2.2550781330366396,-0.40914210528004885,2.4903982366702824,-0.34082571080241003,-0.3155549222269889
Comoros,1.4781622955445513,-0.2386734069164825,-0.35442601321453704,-0.6943059534401294,-1.2452050667943022,-0.7903646038096567,-0.15994348676735617,1.4519328663604152,-0.9089136453368288,-0.17350145673420425,-0.15887758709051808,-1.1776214754143628,-0.683812648848711,1.0181282386403434,-0.24302873139193829,-0.31245808560248944
